symbol	GSM265020	GSM265036	GSM265361	GSM265363	GSM265366	GSM265436	GSM265439	GSM265445
NPTX2	3.47197942279239	3.65836653490695	3.59208026335344	3.54706506041618	3.72412552651494	3.57595669278391	3.60705998997703	3.62141195552672
NPTXR	3.78052390125205	3.58523292259117	3.94979961064473	3.82541158372456	3.83887271657204	3.53448814106519	3.66246386980143	3.50627358761399
NPY	3.79915612536808	3.94585804012816	4.1319877337253	3.91802695844225	4.14746105663728	4.10471012572071	4.24135344022266	4.50327125492066
NPY1R	4.89168083107341	5.05392515068216	4.73999215282239	4.80931979911371	4.8586079988604	4.45902254774606	4.52027729829887	4.4057809148664
NPY2R	3.85285826739047	3.88110926598998	3.90582420216273	3.84681180840756	3.87248380329097	3.77903731956745	3.84042945603573	3.90101826793216
NPY5R	3.47060046565881	3.77941341174621	3.24196297661149	3.20653394539224	3.41584743673264	3.12436887051847	3.29871180496155	3.22779291350321
NPY6R	2.88124401887239	2.80611581156022	2.99264309222981	2.89436001029513	3.09337711248916	3.09677404052021	3.15761543723445	3.10184161126657
NQO1	7.85084113888037	6.34281567776364	6.25765841631472	6.06452653555798	6.73142833141416	8.01963735781959	6.38515125939441	7.3597092454433
NQO2	8.31470467439093	6.85725913119751	7.89317301104744	8.0796778933243	7.10514363892486	7.79376093464082	8.30843457896007	8.26099527479271
NR0B1	2.91070283871449	2.84929578847748	2.95585896258949	2.78612571392722	3.07606091245144	2.97591066281232	2.76118095245573	2.9297505200892
NR0B2	4.96146376335877	5.30053130508237	5.1104862346738	5.11496860258547	5.10263118532997	4.98112136287986	5.10806298141277	4.90415929512415
NR1D2	4.13546296684335	5.08678726988936	4.5003612960225	5.29370816411089	6.04693388023467	4.72386990299686	5.57413033708715	5.51274278942296
NR1H2	6.47004026011159	7.50234798986245	7.45891652675275	7.65019768722925	7.22724499664426	7.81500309350381	7.79681934380416	7.72932078363607
NR1H3	8.21242472300048	5.19408091142575	5.95170833299422	7.08804915546314	6.40653318604245	6.79169212283219	6.51950084012221	7.21452033265716
NR1H4	3.24329157512263	2.95156135109913	2.83486431371473	2.78556022933274	3.04446851889373	3.03138207178572	2.88259205026865	3.0475844795984
NR1I2	6.39439879348495	6.40873438035965	6.4620458512908	6.40022264456841	6.52896055281971	6.14191130815847	6.34877476030905	6.3066319405879
NR1I3	4.17682652985654	4.45384820034343	3.99045558776711	4.08345823966602	4.16520724923679	4.0941447910855	3.98020167281325	3.78495999862474
NR2C1	5.17635048754199	4.7342973587142	4.30960614589864	4.57749820639651	4.62965577280868	4.66773609271606	4.9319818430727	4.76894352144449
NR2C2	5.60223790303618	5.70481978774965	5.66518681855652	5.67080690391907	5.67062534704773	5.20315125307853	5.31161012350573	5.0471240156745
NR2E1	3.14455744487907	3.14928221681724	3.11453558072515	2.95989026906114	2.97341308669542	2.89853126646776	2.9789322049505	2.99476749121631
NR2E3	6.33529885909631	6.63775022246152	6.45127478768417	6.32867827201033	6.34708396019925	6.4304057376091	6.39070009501496	6.3719280158266
NR2F1	4.2321134504984	4.26798732364493	4.21870452444649	4.18766344261205	4.34131805136586	4.14618638670039	4.05370513936827	3.96219145881105
NR2F2	3.06666284642943	3.31683181750703	3.13342650239746	3.0159017121821	2.92454422463777	2.9965432578105	3.00191109357636	3.06340053352847
NR2F6	5.37880429709267	5.70094637945122	5.72845293033472	5.73732419567206	5.7288418441066	5.71162932595247	5.86921272194738	5.73934731428962
NR3C1	8.41755694432741	7.69407368794432	8.12088145197962	7.56793399879688	7.89518397241825	7.35715153018485	7.04051749461037	6.8288101659818
NR3C2	5.54733792842354	5.54223540676453	5.50291805237644	5.52515265022734	5.55943876933322	5.42072491683399	5.55885307610317	5.73951879304832
NR4A1	6.05377255241695	6.34348878268281	5.62664931499453	6.28655025947702	5.88085232544262	5.54605082173364	5.74476504720815	5.38250177171681
NR4A2	9.33973168211846	8.2985088125768	7.42153037928498	8.53189881952708	6.94057227798656	4.99637322055191	5.63132029269564	4.69611142416581
NR4A3	8.45164742649086	7.15611232425481	7.06985289776355	8.49757289767731	7.58528398463567	5.60887110381772	5.21467139363863	5.30203316020359
NR5A1	5.99435398684541	6.31734742231866	6.31671879183641	6.30140142503721	6.40456512196818	6.34701444499711	6.3947456828641	6.49583422837726
NR5A2	2.51204211089773	2.12799305451231	2.21399654751509	2.31960084693357	2.15019544662597	2.29987761582846	2.1692024483728	2.28163127088618
NR6A1	5.37259117760615	5.58238484672438	5.32262096763775	5.33280001920106	5.43096076509497	5.23175343170251	5.31686436592106	5.29256994427878
NRAS	5.85896725327822	5.50737605945183	7.17099324564427	7.05312173435433	6.83839071987062	6.31748603763561	5.73660994894625	5.61024736860312
NRCAM	3.77921095137737	3.89196206650243	3.65145904020758	3.76104854541348	3.65347394729034	3.57839739210012	3.74618421156578	3.56886525345604
NRD1	8.5541690272549	8.0505008751389	8.11528034296283	8.43111707687033	8.33303875684313	8.54537310040063	8.45233980486583	8.74673187367988
NREP	5.75771566843767	6.06219987079808	5.82482017403518	5.74690826249792	5.72534113381843	5.82264261798028	6.79336428131079	8.01626915183645
NRF1	5.52200038264824	5.38553966928945	5.48368400661698	5.49875018721639	5.48110920750436	5.74272452784082	5.610042681088	5.6682861868351
NRG1	5.03395366764603	6.15281323236426	5.40737801785697	5.35354585306513	5.39856252473614	5.75425914333488	6.50623877598863	5.42950576588718
NRG2	5.67167436277173	5.919847255617	5.63727497220778	5.9280879481893	5.82319518284239	5.77778918037649	5.83319453067117	5.71377031824508
NRGN	5.97369747195697	6.57551926083774	6.82183419291333	6.89092767542706	6.74356219428517	6.09518051173254	6.33029677729234	6.27849947626647
NRIP1	8.01037451509104	6.78607216205092	7.47462932827522	7.57481334683086	6.85047158206186	6.9705253875834	7.26888821681351	7.23763877708517
NRL	5.42905122699102	5.64646168516326	5.4227959339868	5.42877721429155	5.43536440991483	5.40347258606165	5.38460876412788	5.28905631696776
NRP1	4.74029772192229	4.75907278825445	6.13461277997461	5.62463738851386	5.73806812377591	5.78170011679351	5.9403444219768	5.60739704236238
NRP2	6.09636610589952	5.9550318441376	6.03911564055741	6.13003109246425	6.01300446776707	6.39958882278758	6.30397015235065	6.29475265751012
NRTN	6.06701299649643	6.52736227495523	6.60754352219879	6.60480140401201	6.48103021658958	6.6399406498451	6.63543437464852	6.64524862818122
NRXN1	4.33069991239763	4.38766279760612	4.15986777611373	4.31348768087693	4.37992066737055	4.41467077047098	4.49129803450247	4.58789403966024
NRXN2	5.79967822540967	6.43548522106892	6.36529120168664	6.27481127355863	6.19115574847389	6.22267794651959	6.22266087993794	6.1288423031736
NRXN3	4.7415849581572	4.88130038471039	4.9179693299339	4.95895824308081	5.0838803950329	4.92124268767388	4.99809200106268	4.75512569094549
NSA2	7.14677508339701	6.09617171393897	5.91186530575167	6.22417955119408	6.18913252093357	6.76325026660019	6.32838827039832	6.17678683037035
NSDHL	6.57480835470423	6.49219768779913	6.71537369410896	6.72890764696844	6.56839294627913	7.14667176229212	6.70491091083154	6.99083962353951
NSFL1C	6.07258972018519	5.75917950818682	5.80953861268147	5.7878889335556	5.75731886121339	5.5485061959061	5.82559665710292	5.89844355192392
NSG1	4.9693827922569	5.17350242946575	4.7734778981414	4.97116991724207	5.00518777228579	4.85785790762338	4.99054051934297	4.87180276671689
NSL1	5.94950361150687	5.17684439278042	5.25132909596278	5.72969988735817	5.80026432355892	5.52846383383699	5.96928941258467	5.80682266710673
NSMAF	9.09252246115765	9.78476913120396	9.28500648487493	9.08273257439867	9.19084261578087	8.77102065205778	7.89538909923705	8.08803222881339
NT5C2	7.46449872450485	7.10283182191559	7.25169460168202	7.05345278850204	7.41187432047721	7.16556529043854	6.70584732777409	6.93584451097308
NT5E	3.65038168814379	2.94409961169423	4.50330338699277	3.52397299638182	3.15652435783765	3.03867086597999	3.14477289243432	3.01094574573859
NTF3	4.93121571408267	4.96394321156971	4.86844240936739	4.92771283188978	5.090256125824	5.08298871919556	5.07422237291054	4.99845699451825
NTHL1	6.30829362400621	6.56590377850112	6.43297701563334	6.54015142783219	6.48921653786018	6.53700954336682	6.63771759815142	6.62507960022342
NTN3	7.09335871229131	7.34596276645935	7.37233431164899	7.3365146744571	7.37025583507531	7.41323678127491	7.47480297162459	7.45928021888104
NTNG1	4.08960729542436	4.14138427340088	3.96721284536823	3.91517536796147	3.84256527508012	3.95895611923279	4.03585667536221	3.69824884016033
NTRK1	5.87503827649041	6.29651105441032	6.16056035665685	6.24398349647015	6.26963434287711	6.2847169639044	6.34712683132967	6.13948076810308
